PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
48,VIKKI MCKEOGH,Experienced Child Care Provider,6635 E Monaco DR,Brighton,CO,80602,Adams,West Adams,-104.911005,39.919258, , ,Level 1,9, , , , , , , , ,20170930
65,JACKIE GRAY,Day care home,11860 E Elm DR,Thornton,CO,80233,Adams,West Adams,-104.928396,39.911489,9/7/2017 0:00,9/7/2020 0:00,Level 2,6,3,2,2/28/2019 0:00,3,1,2/28/2019 0:00,2,1,20170930
100,CHEROKEE TRAIL ELEMENTARY KIDS CENTER,School age child care,17302 Clarke Farms DR,Parker,CO,80134,Douglas,Parker,-104.786646,39.525183, , , ,100, , ,7/31/2017 0:00,0,1,7/31/2018 0:00,0,1,20170930
115,EARLY CHILDHOOD EDUCATION,Preschool,1023 N 31st ST,Colorado Springs,CO,80904,El Paso,Colorado Springs,-104.867475,38.86547, , ,Level 1,16, , , , , , , , ,20170930
157,CHERLLYNN SAUNDERS,Infant /toddler home,5989 W Fair DR,Littleton,CO,80123,Jefferson,Northeast Jefferson,-105.063248,39.604151, , ,Level 1,4, , , , , , , , ,20170930
180,MICHELLE MAYROSE,Day care home,19895 E Belleview,Aurora,CO,80015,Arapahoe,South Aurora,-104.756067,39.623672, , ,Level 1,6, , , , , , , , ,20170930
327,JACKI PACINO,Day care home,20331 Hwy 266,Rocky Ford,CO,81067,Otero,Rocky Ford,-103.704952,38.055041, , ,Level 1,6, , , , , , , , ,20170930
412,KATHLEEN LAATT,Large day care home,88 Baylor DR,Longmont,CO,80503,Boulder,Longmont,-105.149609,40.184872, , ,Level 1,12, , , , , , , , ,20170930
562,SUSAN CALLAGHAN,Large day care home,1401 3rd AVE,Longmont,CO,80501,Boulder,Longmont,-105.117412,40.166584, , ,Level 2,12,4,3,3/31/2018 0:00,4,1,3/31/2018 0:00,5,1,20170930
974,SHANNON DEVANNEY,Day care home,1671 S Salida WAY,Aurora,CO,80017,Arapahoe,South Aurora,-104.78274,39.687472, , ,Level 1,6, , , , , , , , ,20170930
