PROVIDERID,PROVIDERNAME,PROVIDERSERVICETYPE,STREETADDRESS,CITY,STATE,ZIP,COUNTY,COMMUNITY,ECC,CCRR,SCHOOLDISTRICT,POINT_X,POINT_Y,AWARDDATE,EXPIRATIONDATE,QRISRATINGLEVEL,TOTALLICENSEDCAPACITY,CCCAPCHILDCOUNT_D1,CCCAPCASECOUNT_D1,CCCAPFAEXPDATE_D1,CCCAPTOTALAUTH_D1,CCCAPFASTATUS_D1,CCCAP_AMOUNT_PAID_D1,CCCAPFAEXPDATE_D2,CCCAPTOTALAUTH_D2,CCCAPFASTATUS_D2,YEAR_MONTH
48,VIKKI MCKEOGH,Experienced Family Child Care Home,6635 E Monaco DR,Brighton,CO,80602,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.911005,39.919258, , ,Level 1,9, , , , , ,   , , , ,20180630
65,JACKIE GRAY,Family Child Care Home,11860 E Elm DR,Thornton,CO,80233,Adams,West Adams,Northglenn-Thornton School District 12,Early Childhood Partnership of Adams County,Child Care Innovations,-104.928396,39.911489,9/7/2017 0:00,9/7/2020 0:00,Level 2,6,1,1,2/28/2019 0:00,2,1,90,2/28/2019 0:00,2,1,20180630
100,CHEROKEE TRAIL ELEMENTARY KIDS CENTER,School-Age Child Care Center,17302 Clarke Farms DR,Parker,CO,80134,Douglas,Parker,Douglas County School District RE-1,Douglas County Early Childhood Council,Child Care Innovations,-104.786646,39.525183, , , ,100, , ,7/31/2018 0:00,0,1,   ,7/31/2018 0:00,2,1,20180630
115,EARLY CHILDHOOD EDUCATION,Preschool Program,1023 N 31st ST,Colorado Springs,CO,80904,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.867475,38.86547, , ,Level 1,16, , , , , ,   , , , ,20180630
157,CHERLLYNN SAUNDERS,Infant/Toddler Home,5989 W Fair DR,Littleton,CO,80123,Jefferson,Northeast Jefferson,Jefferson County School District R-1,Triad Early Childhood Council,Child Care Innovations,-105.063248,39.604151, , ,Level 1,4, , , , , ,   , , , ,20180630
180,MICHELLE MAYROSE,Family Child Care Home,19895 E Belleview,Aurora,CO,80015,Arapahoe,South Aurora,Cherry Creek School District 5,Arapahoe County Early Childhood Council,Child Care Innovations,-104.756067,39.623672, , ,Level 1,6, , , , , ,   , , , ,20180630
327,JACKI PACINO,Family Child Care Home,20331 Hwy 266,Rocky Ford,CO,81067,Otero,Rocky Ford,Rocky Ford School District R-2,"Early Childhood Council of Bent, Otero and Crowley Counties",Childrens First,-103.704952,38.055041, , ,Level 1,6,1,1,6/30/2018 0:00,1,1,208,6/30/2018 0:00,1,1,20180630
412,KATHLEEN LAATT,Large Family Child Care Home,88 Baylor DR,Longmont,CO,80503,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.149609,40.184872, , ,Level 1,12, , , , , ,   , , , ,20180630
562,SUSAN CALLAGHAN,Large Family Child Care Home,1401 3rd AVE,Longmont,CO,80501,Boulder,Longmont,St. Vrain Valley School District RE 1J,Early Childhood Council of Boulder County,ECC Boulder Co,-105.117412,40.166584,2/28/2018 0:00,2/28/2021 0:00,Level 5,12,1,1,5/14/2018 0:00,1,1,332,3/31/2021 0:00,1,1,20180630
974,SHANNON DEVANNEY,Family Child Care Home,1671 S Salida WAY,Aurora,CO,80017,Arapahoe,South Aurora,Adams-Arapahoe School District 28J,Arapahoe County Early Childhood Council,Child Care Innovations,-104.78274,39.687472, , ,Level 1,6, , , , , ,   , , , ,20180630
993,PAMELA DI RUBBO,Experienced Family Child Care Home,252 Aspen LN,Pine,CO,80470,Park,Fairplay,Platte Canyon School District 1,Teller/Park Early Childhood Council,Child Care Innovations,-105.413291,39.490309, , ,Level 1,9, , , , , ,   , , , ,20180630
1178,RITA THOMPSON,Large Family Child Care Home,3125 Clayton ST,Denver,CO,80205,Denver,Denver,Denver County School District 1,Denver's Early Childhood Council,Denver's ECC,-104.955252,39.761221,11/29/2016 0:00,11/29/2019 0:00,Level 2,12,6,6,3/31/2019 0:00,7,1,2490,3/31/2019 0:00,10,1,20180630
1226,KARA MILLER,Family Child Care Home,6676 Snowy Range DR,Colorado Springs,CO,80923,El Paso,Colorado Springs,Colorado Springs School District 11,Alliance for Kids,Alliance for Kids,-104.736936,38.92749, , ,Level 1,6, , , , , ,   , , , ,20180630
1285,CATHY GILSDORF,Three under Two Family Child Care Home,713 Parkview DR,Fort Collins,CO,80525,Larimer,Fort Collins,Poudre School District R-1,Early Childhood Council of Larimer County,ECC of Larimer County,-105.064904,40.54544, , ,Level 1,6, , , , , ,   , , , ,20180630
