CFIPS,YEAR,AGE,COUNTY,MALE,FEMALE,TOTAL,TYPE
1,2013,0,Adams,3700,3552,7252,Estimate
1,2013,1,Adams,3576,3424,7000,Estimate
1,2013,2,Adams,3753,3590,7343,Estimate
1,2013,3,Adams,3857,3489,7346,Estimate
1,2013,4,Adams,3837,3591,7427,Estimate
3,2013,0,Alamosa,115,110,225,Estimate
3,2013,1,Alamosa,107,102,208,Estimate
3,2013,2,Alamosa,121,116,237,Estimate
3,2013,3,Alamosa,112,127,240,Estimate
3,2013,4,Alamosa,120,139,259,Estimate
5,2013,0,Arapahoe,4065,3897,7962,Estimate
5,2013,1,Arapahoe,4056,3882,7938,Estimate
5,2013,2,Arapahoe,4078,3903,7981,Estimate
5,2013,3,Arapahoe,4117,3950,8067,Estimate
5,2013,4,Arapahoe,4254,4067,8321,Estimate
7,2013,0,Archuleta,55,52,107,Estimate
7,2013,1,Archuleta,60,58,118,Estimate
7,2013,2,Archuleta,71,68,139,Estimate
7,2013,3,Archuleta,67,46,112,Estimate
7,2013,4,Archuleta,63,54,117,Estimate
9,2013,0,Baca,24,23,48,Estimate
9,2013,1,Baca,27,25,52,Estimate
9,2013,2,Baca,21,20,41,Estimate
9,2013,3,Baca,18,21,39,Estimate
9,2013,4,Baca,20,23,43,Estimate
11,2013,0,Bent,20,19,39,Estimate
11,2013,1,Bent,26,25,51,Estimate
11,2013,2,Bent,21,20,41,Estimate
11,2013,3,Bent,23,26,49,Estimate
11,2013,4,Bent,27,28,54,Estimate
13,2013,0,Boulder,1525,1460,2985,Estimate
13,2013,1,Boulder,1528,1462,2991,Estimate
13,2013,2,Boulder,1570,1502,3072,Estimate
13,2013,3,Boulder,1657,1524,3181,Estimate
13,2013,4,Boulder,1671,1579,3250,Estimate
14,2013,0,Broomfield,355,339,694,Estimate
14,2013,1,Broomfield,354,339,692,Estimate
14,2013,2,Broomfield,363,348,711,Estimate
14,2013,3,Broomfield,383,340,723,Estimate
14,2013,4,Broomfield,391,365,756,Estimate
15,2013,0,Chaffee,59,56,115,Estimate
15,2013,1,Chaffee,81,78,159,Estimate
15,2013,2,Chaffee,81,78,158,Estimate
15,2013,3,Chaffee,81,80,161,Estimate
15,2013,4,Chaffee,84,83,168,Estimate
17,2013,0,Cheyenne,14,13,27,Estimate
17,2013,1,Cheyenne,20,19,39,Estimate
17,2013,2,Cheyenne,11,11,22,Estimate
17,2013,3,Cheyenne,8,15,23,Estimate
17,2013,4,Cheyenne,13,14,26,Estimate
19,2013,0,Clear Creek,36,35,71,Estimate
19,2013,1,Clear Creek,33,32,65,Estimate
19,2013,2,Clear Creek,37,35,72,Estimate
19,2013,3,Clear Creek,39,41,81,Estimate
19,2013,4,Clear Creek,47,44,91,Estimate
21,2013,0,Conejos,56,53,109,Estimate
21,2013,1,Conejos,64,61,125,Estimate
21,2013,2,Conejos,53,51,104,Estimate
21,2013,3,Conejos,58,78,136,Estimate
21,2013,4,Conejos,58,59,118,Estimate
23,2013,0,Costilla,15,14,29,Estimate
23,2013,1,Costilla,15,14,29,Estimate
23,2013,2,Costilla,20,19,39,Estimate
23,2013,3,Costilla,18,16,34,Estimate
23,2013,4,Costilla,16,20,36,Estimate
25,2013,0,Crowley,20,19,39,Estimate
25,2013,1,Crowley,18,17,35,Estimate
25,2013,2,Crowley,15,14,29,Estimate
25,2013,3,Crowley,14,17,30,Estimate
25,2013,4,Crowley,13,19,31,Estimate
27,2013,0,Custer,11,11,22,Estimate
27,2013,1,Custer,14,13,27,Estimate
27,2013,2,Custer,12,12,24,Estimate
27,2013,3,Custer,10,15,25,Estimate
27,2013,4,Custer,11,19,30,Estimate
29,2013,0,Delta,160,153,313,Estimate
29,2013,1,Delta,165,158,323,Estimate
29,2013,2,Delta,163,156,319,Estimate
29,2013,3,Delta,159,150,308,Estimate
29,2013,4,Delta,165,151,316,Estimate
31,2013,0,Denver,4792,4589,9382,Estimate
31,2013,1,Denver,4590,4393,8983,Estimate
31,2013,2,Denver,4665,4463,9128,Estimate
31,2013,3,Denver,4188,4141,8328,Estimate
31,2013,4,Denver,4190,4022,8213,Estimate
33,2013,0,Dolores,9,9,17,Estimate
33,2013,1,Dolores,12,12,24,Estimate
33,2013,2,Dolores,9,9,18,Estimate
33,2013,3,Dolores,7,14,21,Estimate
33,2013,4,Dolores,17,13,30,Estimate
35,2013,0,Douglas,1782,1703,3485,Estimate
35,2013,1,Douglas,1819,1741,3560,Estimate
35,2013,2,Douglas,1878,1797,3675,Estimate
