PROVIDERID,ZIP,SERVICETYPEBYAGE,COORDINATES
48,80602,FCC/DC/CCC,"[39.919258, -104.911005]"
65,80233,FCC/DC/CCC,"[39.9101, -104.9344]"
100,80134,School-Age Facility,"[39.525183, -104.78664599999999]"
115,80904,Preschool Facility,"[38.86547, -104.867475]"
157,80123,Infant/Toddler Facility,"[39.604151, -105.063248]"
180,80015,FCC/DC/CCC,"[39.623672, -104.756067]"
327,81067,FCC/DC/CCC,"[38.055040999999996, -103.704952]"
412,80503,FCC/DC/CCC,"[40.184872, -105.14960900000001]"
562,80501,FCC/DC/CCC,"[40.166584, -105.11741200000002]"
974,80017,FCC/DC/CCC,"[39.687472, -104.78274]"
993,80470,FCC/DC/CCC,"[39.490309, -105.41329099999999]"
1178,80205,FCC/DC/CCC,"[39.761221, -104.955252]"
1285,80525,Infant/Toddler Facility,"[40.54544, -105.064904]"
1473,80124,FCC/DC/CCC,"[39.554402, -104.88922600000001]"
1529,80538,FCC/DC/CCC,"[40.41602, -105.075352]"
1727,80631,FCC/DC/CCC,"[40.396594, -104.69382900000001]"
1730,80134,FCC/DC/CCC,"[39.485816, -104.780493]"
1996,80015,School-Age Facility,"[39.619406, -104.778859]"
2082,80109,Infant/Toddler Facility,"[39.410291, -104.897292]"
2096,80534,FCC/DC/CCC,"[40.331378, -104.91893999999999]"
2185,80401,School-Age Facility,"[39.755469, -105.230019]"
2186,81641,Preschool Facility,"[40.045433, -107.905387]"
2450,80013,School-Age Facility,"[39.644079, -104.75753]"
2561,80526,FCC/DC/CCC,"[40.527613, -105.10289099999999]"
2644,80634,FCC/DC/CCC,"[40.433856, -104.757452]"
2712,80015,School-Age Facility,"[39.626658, -104.779394]"
2799,80015,School-Age Facility,"[39.621346, -104.797077]"
2803,81635,FCC/DC/CCC,"[39.452690000000004, -108.05361299999998]"
2887,80603,FCC/DC/CCC,"[40.004366999999995, -104.713657]"
2909,80918,FCC/DC/CCC,"[38.917879, -104.782089]"
2991,81650,FCC/DC/CCC,"[39.534308, -107.772421]"
3055,80751,FCC/DC/CCC,"[40.722986, -102.806754]"
3064,80260,FCC/DC/CCC,"[39.879418, -105.019682]"
3078,81615,School-Age Facility,"[39.208721999999995, -106.949795]"
3079,80550,FCC/DC/CCC,"[40.466228, -104.905596]"
3089,80601,School-Age Facility,"[39.993117, -104.802203]"
3098,80013,School-Age Facility,"[39.646737, -104.80502299999999]"
3188,81639,FCC/DC/CCC,"[40.494023, -107.264436]"
3192,81601,FCC/DC/CCC,"[39.514516, -107.32011299999999]"
3194,80922,FCC/DC/CCC,"[38.870868, -104.703983]"
3281,80015,FCC/DC/CCC,"[39.618473, -104.769863]"
3291,80911,FCC/DC/CCC,"[38.758963, -104.732839]"
3299,80120,FCC/DC/CCC,"[39.585691, -105.022019]"
3491,80010,FCC/DC/CCC,"[39.716356, -104.855775]"
3615,80220,Infant/Toddler Facility,"[39.734045, -104.925832]"
3803,80922,FCC/DC/CCC,"[38.906504999999996, -104.71768]"
3819,80465,School-Age Facility,"[39.688722999999996, -105.19031799999999]"
3923,80005,FCC/DC/CCC,"[39.851456, -105.094473]"
4117,80127,FCC/DC/CCC,"[39.625091999999995, -105.11428899999999]"
4225,80538,FCC/DC/CCC,"[40.442547999999995, -105.073222]"
4249,80220,School-Age Facility,"[39.723755, -104.93860600000001]"
4308,80226,Preschool Facility,"[39.715441999999996, -105.075943]"
4310,80123,Preschool Facility,"[39.624904, -105.03598799999999]"
4321,80521,School-Age Facility,"[40.577571999999996, -105.11131499999999]"
4322,80526,School-Age Facility,"[40.566866999999995, -105.121757]"
4323,80918,FCC/DC/CCC,"[38.907871, -104.773809]"
4383,80236,School-Age Facility,"[39.634183, -105.040535]"
4384,81413,Preschool Facility,"[38.9021, -107.926355]"
4392,80905,FCC/DC/CCC,"[38.826223, -104.846423]"
4394,81212,FCC/DC/CCC,"[38.437211, -105.234853]"
4399,80104,FCC/DC/CCC,"[39.366381, -104.82123100000001]"
4400,80126,FCC/DC/CCC,"[39.537157, -104.94641599999999]"
4402,80121,School-Age Facility,"[39.603066, -104.951925]"
4403,80113,FCC/DC/CCC,"[39.652346, -104.93348200000001]"
4404,80134,FCC/DC/CCC,"[39.537923, -104.795424]"
4422,80538,FCC/DC/CCC,"[40.445565, -105.079277]"
4563,80228,FCC/DC/CCC,"[39.693346999999996, -105.134759]"
4584,80526,FCC/DC/CCC,"[40.545255, -105.092574]"
4629,80525,FCC/DC/CCC,"[40.502289000000005, -105.06921899999999]"
4630,80525,FCC/DC/CCC,"[40.486635, -105.08310300000001]"
4652,80104,FCC/DC/CCC,"[39.369819, -104.822092]"
4779,81055,FCC/DC/CCC,"[37.504635, -105.008477]"
4811,80615,FCC/DC/CCC,"[40.514852000000005, -104.730423]"
4812,80720,FCC/DC/CCC,"[40.160083, -103.215284]"
4815,80525,FCC/DC/CCC,"[40.515915, -105.056504]"
4822,80801,FCC/DC/CCC,"[39.745321000000004, -103.028729]"
4830,81435,FCC/DC/CCC,"[37.946368, -107.882079]"
4835,80735,FCC/DC/CCC,"[39.704388, -102.293778]"
4845,80020,FCC/DC/CCC,"[39.925907, -105.08295600000001]"
4846,80026,FCC/DC/CCC,"[40.000174, -105.094598]"
4850,80129,Preschool Facility,"[39.555701, -104.991199]"
4855,80112,School-Age Facility,"[39.581721, -104.899603]"
4856,80111,School-Age Facility,"[39.597055, -104.91061499999999]"
4857,80112,School-Age Facility,"[39.590478999999995, -104.89621100000001]"
4958,80020,FCC/DC/CCC,"[39.940059999999995, -105.031442]"
5358,81401,FCC/DC/CCC,"[38.4783, -107.8588]"
5411,80120,FCC/DC/CCC,"[39.616034, -105.010696]"
5413,80758,FCC/DC/CCC,"[40.075379999999996, -102.246643]"
5420,80212,School-Age Facility,"[39.781298, -105.04259499999999]"
5422,80212,School-Age Facility,"[39.764871, -105.039907]"
5424,81639,FCC/DC/CCC,"[40.493495, -107.262556]"
5430,80228,FCC/DC/CCC,"[39.716102, -105.13823799999999]"
5431,80305,FCC/DC/CCC,"[39.981062, -105.252384]"
5546,81049,Preschool Facility,"[37.246959999999994, -103.35333]"
5763,80109,FCC/DC/CCC,"[39.392221, -104.91008899999999]"
5874,80005,FCC/DC/CCC,"[39.845853000000005, -105.087507]"
5880,80807,FCC/DC/CCC,"[39.301727, -102.28671]"
5949,80742,Preschool Facility,"[40.613645, -103.80181]"
6006,80305,School-Age Facility,"[39.981062, -105.252384]"
6007,80911,Preschool Facility,"[38.752168, -104.73033199999999]"
6356,80759,Preschool Facility,"[40.123354, -102.732097]"
6405,80526,FCC/DC/CCC,"[40.545696, -105.09568300000001]"
6427,80526,FCC/DC/CCC,"[40.553351, -105.131476]"
6437,80204,FCC/DC/CCC,"[39.735170000000004, -105.02259]"
6443,81004,FCC/DC/CCC,"[38.257099, -104.631038]"
6565,80814,FCC/DC/CCC,"[38.957014, -105.145772]"
6681,80602,FCC/DC/CCC,"[39.918856, -104.912659]"
6722,80205,FCC/DC/CCC,"[39.761743, -104.96437900000001]"
6803,81101,FCC/DC/CCC,"[37.480154999999996, -105.89005300000001]"
6804,80911,FCC/DC/CCC,"[38.76683, -104.72940200000001]"
7019,80134,School-Age Facility,"[39.527701, -104.806794]"
7075,81212,FCC/DC/CCC,"[38.437262, -105.18558]"
7199,80020,Infant/Toddler Facility,"[39.916722, -105.076971]"
7292,80228,School-Age Facility,"[39.681534, -105.145569]"
